UniProt_ID,Disease_ID
Q9HAZ2,C0026603
P11142,C0035126
P46531,C0018798
P46531,C0004114
P46531,C0024299
P46531,C0017636
Q5R372,C0338480
Q04721,C0004114
P46531,C0006663
P46531,C0027765
P46531,C0887833
Q9Y219,C0887833
Q03112,C2931822
P11142,C0948089
Q9Y219,C0017636
Q14524,C1142166
P49281,C0023903
P62750,C0030567
P46531,C0000768
Q9H2X9,C0014556
P46531,C1458155
Q9HC35,C0027627
Q9HC35,C0152013
P46531,C0018824
P11142,C0026640
P46531,C0007873
P46531,C0007621
Q9BQA1,C0919267
Q04721,C1458155
P46531,C0010606
Q9HAZ2,C2607914
Q5SRN2,C0011615
Q03112,C1458155
Q9HAZ2,C0149931
Q9Y219,C0376634
Q04721,C0011860
Q96BQ1,C0036341
Q9H2X9,C0020429
Q04721,C0017636
Q04721,C0024121
P11142,C0001418
Q14524,C0023976
Q9NVD3,C0151786
Q9H251,C0032273
Q8IV20,C0010346
P11142,C0007137
P46531,C0279626
Q0VDD8,C0455988
Q14524,C0878544
Q03112,C1271104
A6NNT2,C0028754
Q14524,C0035828
Q14721,C0393706
P46531,C0376634
Q9NVD3,C0013080
Q14524,C0949658
P11142,C0038356
Q14721,C0019284
Q5JVX7,C0023343
Q14524,C0007193
Q5SRN2,C0018213
A3KN83,C0036341
Q9NVV4,C0025202
Q04721,C0007873
O60268,C0002736
Q9Y219,C1458155
O94906,C0035334
Q9Y232,C0149925
Q9HC35,C0006118
P46531,C0009375
Q03112,C0919267
P46531,C1961099
P17987,C0033578
Q9H2X9,C0038220
Q14524,C0038644
Q14524,C0004238
P49281,C0018995
P62750,C1458155
Q04721,C0279626
Q9H2X9,C0036572
Q14524,C0349788
Q9HC35,C0007131
P60866,C1333990
Q03112,C0009375
Q14524,C0042514
Q14524,C0429087
Q03112,C0023470
Q8IV20,C0023343
Q03112,C0029456
Q03112,C1272641
Q0VGE8,C0033860
P58499,C0151786
Q5SRN2,C0004096
Q9H2X9,C0014544
Q03112,C3160731
P58499,C0013080
Q9HAZ2,C1960469
Q5SRN2,C0026769
Q5SRN2,C0022658
Q5SRN2,C0003864
Q5SRN2,C0086445
Q6UXA7,C0086445
Q5JVX7,C0010346
Q5SRN2,C0008312
Q5SRN2,C0023434
Q86XI8,C0032460
Q5SRN2,C0036421
Q8N4C9,C0007570
Q49A92,C0028754
Q5SRN2,C0010068
Q8NEA5,C0236969
Q9UIE0,C0023452
