Disease Name,Gene ID,UniProt_ID,protein1,protein2,combined_score,proteinFullNames
Motion Sickness,63976,Q9HAZ2,ENSP00000263025,ENSP00000270722,276,"PR domain zinc finger protein 16,PR domain-containing protein 16,Transcription factor MEL1"
Reperfusion Injury,3312,P11142,ENSP00000261267,ENSP00000437125,176,
Congenital Heart Defects,4851,P46531,ENSP00000498587,ENSP00000330393,202,Translocation-associated notch protein TAN-1
Common Migraine,9910,Q5R372,ENSP00000313600,ENSP00000251507,187,
Astrocytoma,4853,Q04721,ENSP00000310170,ENSP00000256646,244,
"Carcinoma, Pancreatic Ductal",3714,Q9Y219,ENSP00000264036,ENSP00000328169,208,
Nasopharyngeal carcinoma,2122,Q03112,ENSP00000363071,ENSP00000264674,151,
Brugada Syndrome (disorder),6331,Q14524,ENSP00000328968,ENSP00000352925,151,
Liver neoplasms,4891,P49281,ENSP00000378364,ENSP00000355053,169,
Parkinson Disease,6147,P62750,ENSP00000322439,ENSP00000389103,999,Large ribosomal subunit protein uL23
"Epilepsy, Temporal Lobe",57468,Q9H2X9,ENSP00000387694,ENSP00000419361,156,
Neoplasm Metastasis,27436,Q9HC35,ENSP00000465075,ENSP00000320663,514,"Restrictedly overexpressed proliferation-associated protein,Ropp 120"
ovarian neoplasm,79084,Q9BQA1,ENSP00000235090,ENSP00000346065,394,"Androgen receptor cofactor p44,WD repeat-containing protein 77,p44/Mep50"
"Dermatitis, Atopic",10665,Q5SRN2,ENSP00000415517,ENSP00000372724,290,Uncharacterized protein C6orf10
Schizophrenia,131177,Q96BQ1,ENSP00000331965,ENSP00000351632,275,
Muscle Weakness,54093,Q9NVD3,ENSP00000321498,ENSP00000382163,456,
Pneumoconiosis,64072,Q9H251,ENSP00000238738,ENSP00000224721,158,
Crohn Disease,144811,Q8IV20,ENSP00000365462,ENSP00000391747,174,
"Hydrops Fetalis, Non-Immune",127602,Q0VDD8,ENSP00000440556,ENSP00000383737,228,
Obesity,342346,A6NNT2,ENSP00000360966,ENSP00000415027,159,
Early infantile epileptic encephalopathy with suppression bursts,3745,Q14721,ENSP00000360806,ENSP00000482169,169,
Leprosy,400757,Q5JVX7,ENSP00000431840,ENSP00000360046,219,
Schizophrenia,55206,A3KN83,ENSP00000323527,ENSP00000473665,355,Monocyte protein 3
melanoma,55149,Q9NVV4,ENSP00000263063,ENSP00000407509,338,
Amyotrophic Lateral Sclerosis,9764,O60268,ENSP00000457408,ENSP00000334801,204,
Retinitis Pigmentosa,24148,O94906,ENSP00000386264,ENSP00000266079,153,
Small cell carcinoma of lung,9425,Q9Y232,ENSP00000380718,ENSP00000261890,154,Crotonyl-CoA hydratase
Prostatic Neoplasms,6950,P17987,ENSP00000317334,ENSP00000233146,286,CCT-alpha
Hereditary Nonpolyposis Colorectal Cancer,6224,P60866,ENSP00000369682,ENSP00000429374,381,Small ribosomal subunit protein uS10
Psoriasis,125893,Q0VGE8,ENSP00000310008,ENSP00000350295,319,
Muscle Weakness,54097,P58499,ENSP00000350673,ENSP00000291691,256,"Cytokine-like protein 2-21,Pancreatic-derived factor"
Idiopathic Membranous Glomerulonephritis,29113,Q6UXA7,ENSP00000259870,ENSP00000312403,153,Protein STG
Polycystic Ovary Syndrome,374920,Q86XI8,ENSP00000355922,ENSP00000480314,225,
Celiac Disease,284099,Q8N4C9,ENSP00000478886,ENSP00000253063,154,
Obesity,116328,Q49A92,ENSP00000427820,ENSP00000384364,254,Protein VEST-1
Substance-Related Disorders,147685,Q8NEA5,ENSP00000321519,ENSP00000356155,159,
"Leukemia, Lymphocytic, Acute, L1",7773,Q9UIE0,ENSP00000376886,ENSP00000409318,162,Zinc finger protein FDZF2
