UniProt_ID,GO_Term
Q9HAZ2,GO:0016235
Q9HAZ2, GO:0005829
Q9HAZ2, GO:0005654
Q9HAZ2, GO:0005634
Q9HAZ2, GO:0017053
Q9HAZ2, GO:0001228
Q9HAZ2, GO:0140297
Q9HAZ2, GO:0001227
Q9HAZ2, GO:0140938
Q9HAZ2, GO:0046974
Q9HAZ2, GO:0140948
Q9HAZ2, GO:0140947
Q9HAZ2, GO:0046872
Q9HAZ2, GO:0000978
Q9HAZ2, GO:0043565
Q9HAZ2, GO:0000976
Q9HAZ2, GO:0003713
Q9HAZ2, GO:0003712
Q9HAZ2, GO:0050873
Q9HAZ2, GO:0070828
Q9HAZ2, GO:0032259
Q9HAZ2, GO:0045892
Q9HAZ2, GO:0030853
Q9HAZ2, GO:0000122
Q9HAZ2, GO:0030512
Q9HAZ2, GO:0120162
Q9HAZ2, GO:0045893
Q9HAZ2, GO:0043457
Q9HAZ2, GO:0006357
P11142,GO:0072562
P11142, GO:0061202
P11142, GO:0005737
P11142, GO:0005829
P11142, GO:0070062
P11142, GO:0005576
P11142, GO:0005615
P11142, GO:1904813
P11142, GO:0005925
P11142, GO:0098575
P11142, GO:0043202
P11142, GO:0005765
P11142, GO:0042470
P11142, GO:0016020
P11142, GO:0005730
P11142, GO:0005654
P11142, GO:0005634
P11142, GO:0005886
P11142, GO:0101031
P11142, GO:0000974
P11142, GO:1990904
P11142, GO:0034774
P11142, GO:0005681
P11142, GO:0005524
P11142, GO:0016887
P11142, GO:0140545
P11142, GO:0140662
P11142, GO:0055131
P11142, GO:0045296
P11142, GO:0019899
P11142, GO:0001664
P11142, GO:0031072
P11142, GO:0023026
P11142, GO:0140597
P11142, GO:0044183
P11142, GO:0051087
P11142, GO:0030674
P11142, GO:0048018
P11142, GO:0003723
P11142, GO:0031625
P11142, GO:0051082
P11142, GO:0046034
P11142, GO:0009267
P11142, GO:0071383
P11142, GO:0051085
P11142, GO:0061684
P11142, GO:1904764
P11142, GO:0072318
P11142, GO:0061024
P11142, GO:0000398
P11142, GO:0045892
P11142, GO:1900226
P11142, GO:1902904
P11142, GO:0030335
P11142, GO:0006457
P11142, GO:0042026
P11142, GO:0061740
P11142, GO:0061635
P11142, GO:1904589
P11142, GO:0031647
P11142, GO:0043254
P11142, GO:0006986
P46531,GO:0001669
P46531, GO:0005912
P46531, GO:0016324
P46531, GO:0009986
P46531, GO:0005829
P46531, GO:0005789
P46531, GO:0010008
P46531, GO:0005576
P46531, GO:0098978
P46531, GO:0000139
P46531, GO:0031902
P46531, GO:0002193
P46531, GO:0005654
P46531, GO:0005634
P46531, GO:0005886
P46531, GO:0098839
P46531, GO:0043235
P46531, GO:0098685
P46531, GO:0005509
P46531, GO:0031490
P46531, GO:0000987
P46531, GO:0001228
P46531, GO:0019899
P46531, GO:0004857
P46531, GO:0042802
P46531, GO:0005112
P46531, GO:0003713
P46531, GO:0140537
P46531, GO:0004888
P46531, GO:0031100
P46531, GO:0003180
P46531, GO:1902263
P46531, GO:0060842
P46531, GO:0048708
P46531, GO:0003162
P46531, GO:0003181
P46531, GO:0009912
P46531, GO:0007411
P46531, GO:0048754
P46531, GO:0017156
P46531, GO:0003209
P46531, GO:0003207
P46531, GO:0060317
P46531, GO:0003214
P46531, GO:0060379
P46531, GO:0060038
P46531, GO:0055008
P46531, GO:0003213
P46531, GO:0003219
P46531, GO:0060411
P46531, GO:0060948
P46531, GO:0003208
P46531, GO:0021515
P46531, GO:0003273
P46531, GO:0071372
P46531, GO:0071456
P46531, GO:0071228
P46531, GO:0035924
P46531, GO:0099565
P46531, GO:0060271
P46531, GO:0072044
P46531, GO:0007386
P46531, GO:0060982
P46531, GO:0003182
P46531, GO:0003169
P46531, GO:0007368
P46531, GO:0072017
P46531, GO:0035116
P46531, GO:0060956
P46531, GO:0003203
P46531, GO:0003157
P46531, GO:0003160
P46531, GO:0007492
P46531, GO:0009957
P46531, GO:0072148
P46531, GO:0050673
P46531, GO:0001837
P46531, GO:0003198
P46531, GO:0030900
P46531, GO:0007440
