UniProt_ID,PDB_ID
Q9HAZ2,2N1I:A
Q9HAZ2, 6BW4:B
Q9HAZ2, 6BW4:D
P11142,3AGY:C
P11142, 3AGY:D
P11142, 3AGY:F
P11142, 3AGZ:C
P11142, 3AGZ:D
P11142, 3AGZ:E
P11142, 3AGZ:F
P11142, 3ESK:B
P11142, 3FZF:A
P11142, 3FZH:A
P11142, 3FZK:A
P11142, 3FZL:A
P11142, 3FZM:A
P11142, 3LDQ:A
P11142, 3M3Z:A
P11142, 4H5N:A
P11142, 4H5N:B
P11142, 4H5R:A
P11142, 4H5R:B
P11142, 4H5T:A
P11142, 4H5V:A
P11142, 4H5W:A
P11142, 4H5W:B
P11142, 4HWI:A
P11142, 4KBQ:C
P11142, 4KBQ:D
P11142, 5AQF:A
P11142, 5AQF:C
P11142, 5AQG:A
P11142, 5AQG:C
P11142, 5AQG:E
P11142, 5AQH:A
P11142, 5AQI:A
P11142, 5AQI:C
P11142, 5AQJ:A
P11142, 5AQJ:C
P11142, 5AQJ:E
P11142, 5AQK:A
P11142, 5AQL:A
P11142, 5AQL:C
P11142, 5AQM:A
P11142, 5AQM:C
P11142, 5AQN:A
P11142, 5AQN:C
P11142, 5AQN:E
P11142, 5AQO:A
P11142, 5AQO:C
P11142, 5AQO:E
P11142, 5AQP:A
P11142, 5AQP:C
P11142, 5AQP:E
P11142, 5AQQ:A
P11142, 5AQQ:C
P11142, 5AQQ:E
P11142, 5AQR:A
P11142, 5AQR:C
P11142, 5AQR:E
P11142, 5AQS:A
P11142, 5AQS:C
P11142, 5AQT:A
P11142, 5AQU:A
P11142, 5AQV:A
P11142, 6B1I:A
P11142, 6B1I:B
P11142, 6B1M:A
P11142, 6B1M:B
P11142, 6B1N:A
P11142, 6B1N:B
P11142, 6ZYJ:A
P11142, 6ZYJ:B
P46531,1PB5:A
P46531, 1TOZ:A
P46531, 1YYH:A
P46531, 1YYH:B
P46531, 2F8X:K
P46531, 2F8Y:A
P46531, 2F8Y:B
P46531, 2HE0:A
P46531, 2HE0:B
P46531, 2VJ3:A
P46531, 3ETO:A
P46531, 3ETO:B
P46531, 3I08:A
P46531, 3I08:C
P46531, 3I08:B
P46531, 3I08:D
P46531, 3L95:X
P46531, 3L95:Y
P46531, 3NBN:B
P46531, 3NBN:E
P46531, 3V79:K
P46531, 3V79:R
P46531, 4CUD:A
P46531, 4CUE:A
P46531, 4CUF:A
P46531, 4D0E:A
P46531, 4D0F:A
P46531, 5FM9:A
P46531, 5FMA:A
P46531, 5FMA:B
P46531, 5KZO:A
P46531, 5L0R:B
P46531, 5UB5:B
P46531, 6IDF:E
P46531, 6PY8:F
P46531, 6PY8:K
P46531, 8OR5:A
P46531, 8ORY:A
P46531, 8ORZ:A
P46531, 9B3G:A
P46531, 9B3N:A
Q5R372,3HZJ:A
Q5R372, 3HZJ:B
Q5R372, 3HZJ:C
Q04721,2OO4:A
Q04721, 2OO4:B
Q04721, 5MWB:A
Q9Y219,5MW5:A
Q9Y219, 5MW7:A
Q9Y219, 5MWF:A
Q9Y219, 5MWF:B
Q9Y219, 5MWF:C
Q9Y219, 5MWF:D
Q9Y219, 5MWF:E
Q9Y219, 5MWF:F
Q03112,6BW3:B
Q03112, 6BW3:D
Q14524,2KBI:A
Q14524, 2L53:B
Q14524, 4DCK:A
Q14524, 4DJC:B
Q14524, 4JQ0:D
Q14524, 4OVN:F
Q14524, 4OVN:G
Q14524, 4OVN:H
Q14524, 4OVN:I
Q14524, 4OVN:J
Q14524, 5DBR:C
Q14524, 6LQA:B
Q14524, 6MUD:B
Q14524, 7DTC:A
Q14524, 7L83:A
P49281,5F0L:D
P49281, 5F0M:D
P49281, 5F0P:D
P49281, 7BLO:H
P49281, 7BLO:N
P49281, 7BLQ:U
P49281, 7BLQ:V
P62750,4UG0:LX
P62750, 4V6X:CX
P62750, 5AJ0:AX
P62750, 5LKS:LX
P62750, 5T2C:R
P62750, 6IP5:2R
P62750, 6IP6:2R
P62750, 6IP8:2R
P62750, 6LQM:g
P62750, 6LSR:g
P62750, 6LSS:g
P62750, 6LU8:g
P62750, 6OLE:Y
P62750, 6OLF:Y
P62750, 6OLG:AX
P62750, 6OLI:Y
P62750, 6OLZ:AX
P62750, 6OM0:Y
P62750, 6OM7:Y
